"","x_freqmain","y_freqmain","z_freqmain","x_freqamp","y_freqamp","z_freqamp","x_entropy","y_entropy","z_entropy"
"46",3.689,3.4255,3.4255,33.9799398380622,58.9649985628474,181.909532119663,0.350819882611192,0.350314852351595,0.321703034800452
"47",0.7905,3.162,0.7905,39.221417433929,27.0093642915039,74.7439653190649,0.405326145846352,0.404834830720081,0.388870734984986
"48",3.4255,3.4255,3.4255,55.0161447737131,61.9815790237518,150.42110715835,0.371351851788774,0.363129864427429,0.346257237213157
"49",3.162,3.162,3.162,31.2778139262377,48.0128133961324,138.393448133731,0.372191087308566,0.334476837339036,0.286537220895719
"50",0.527,3.162,3.162,28.7821180502634,25.8372667691239,109.596322658239,0.397186093997901,0.391611734901474,0.354042583771348
"51",4.743,2.635,3.162,17.6387099207702,12.3515855185465,55.4907834778607,0.404845382477274,0.394015771682737,0.362583092635595
"52",3.4255,3.4255,3.4255,44.0981078083782,95.732461821982,217.352975134346,0.397812902056976,0.372905981349895,0.340470781827832
"53",3.4255,3.4255,3.4255,53.1123801775157,76.7833369603601,161.2167831612,0.372337854169286,0.381822958127289,0.353955537688131
"54",3.162,3.162,3.162,23.1320179634888,24.9463556712391,71.7486774194797,0.396302568486412,0.377383360146163,0.363657488080661
"55",3.4255,3.4255,3.4255,57.9309446034356,56.286048251465,223.24991345821,0.337399192699608,0.309497954513347,0.228375244789658
"56",3.162,3.162,3.162,66.637663906927,59.7491113288444,211.133610292109,0.35365541255089,0.346628721978236,0.292816531696686
"57",3.4255,3.162,3.162,47.9480465090378,31.0928831819013,114.039228876235,0.342818980455871,0.360415780169422,0.313178998012978
"58",3.162,4.743,3.162,60.2514869408598,51.2615243328215,169.22223758574,0.371433030494375,0.365549542665037,0.329244363985568
"59",3.162,3.162,3.162,60.3256775533614,50.2185653235216,141.758370705303,0.351465548885196,0.343850771352594,0.32569208936737
"60",3.9525,3.9525,3.689,28.5378466592958,56.6820088997081,128.6829716412,0.393625516088342,0.361878914841715,0.399930248279845
"61",4.4795,5.27,3.162,8.73458996086085,13.6604955505403,8.2389380479846,0.411884964536725,0.403360205947231,0.35960781268433
"62",1.054,1.3175,2.3715,6.16227880819956,12.9946674635889,7.24138584877765,0.407466910040298,0.375605676113242,0.401265793238136
"63",2.108,1.3175,2.635,6.92423529161032,20.9643040453207,9.97000592745659,0.400054614859896,0.323422448183464,0.369259964991728
"64",3.4255,4.4795,3.9525,2.15396868040262,2.37031761820447,2.00488543349577,0.372141314367647,0.394706784167499,0.410344964478206
"65",0.7905,1.054,4.743,9.9968678692633,20.7327376994082,10.3184492862046,0.387041004724665,0.401710431607878,0.389327706718639
"66",4.4795,5.27,3.162,8.73458996086085,13.6604955505403,8.2389380479846,0.411884964536725,0.403360205947231,0.35960781268433
"67",1.054,1.3175,2.3715,6.16227880819956,12.9946674635889,7.24138584877765,0.407466910040298,0.375605676113242,0.401265793238136
"68",2.108,1.3175,2.635,6.92423529161032,20.9643040453207,9.97000592745659,0.400054614859896,0.323422448183464,0.369259964991728
"69",3.4255,4.4795,3.9525,2.15396868040262,2.37031761820447,2.00488543349577,0.372141314367647,0.394706784167499,0.410344964478206
"70",0.7905,1.054,4.743,9.9968678692633,20.7327376994082,10.3184492862046,0.387041004724665,0.401710431607878,0.389327706718639
"71",3.4255,3.4255,3.4255,23.1909268012503,44.1157250420612,140.485868570253,0.384244476220549,0.343568229492349,0.28655259653388
"72",3.162,3.4255,3.4255,15.2956504252796,15.5372183714153,59.9206937079208,0.378752271476062,0.39434552706826,0.365367454855132
"73",3.4255,3.4255,3.4255,46.3047019200314,53.0088313442941,175.946199286931,0.362261594696599,0.356604839256767,0.289958095050656
"74",3.4255,3.162,3.162,25.3541300310207,27.2644268369465,92.9158507779309,0.370418191928469,0.387447287047748,0.357891312991547
"75",3.162,3.4255,3.4255,35.2295311657267,19.2685702411413,119.727636010529,0.376826770795645,0.394022478901337,0.337616420271458
"76",3.4255,3.4255,3.4255,24.177705876673,46.1793105405642,147.701340135656,0.382675311530172,0.36125894822427,0.285238095155199
"77",2.3715,4.4795,0.7905,10.4623239528868,6.66798686642339,36.8207246484407,0.399123255055341,0.394187187717558,0.38095523239036
"78",3.9525,1.581,0.527,10.7569627679316,6.28418880300112,21.2235963722442,0.409571388605971,0.386842995897926,0.332151439113549
"79",0.527,0.7905,0.527,8.14168350696734,3.73683902452649,27.393124168672,0.378724060467327,0.395305774590694,0.314295452944952
"80",0.7905,2.8985,0.7905,13.5732955488427,6.87464615377788,45.6198200038946,0.394535788399738,0.409190438903193,0.314552103998452
